RQ,电机后轴温度,电机前轴温度,电机绕组温度,电流,电压,瞬时流量,闸阀开度,真空度
2017-03-10 22:06:00,66.74615936500001,67.9433224294737,83.45344222105263,108.52521836315789,10.081140517894736,0.0,83.16581525263159,-0.868057251
2017-03-10 22:07:00,66.826925277,68.026922227,83.53846178526317,108.20997820526313,10.085891974210526,0.0,83.17342938789474,-0.8589200471578946
2017-03-10 22:08:00,66.89311860789473,68.09311555789473,83.60728896105265,108.68283884210527,10.084064532631578,0.0,83.17342938842108,-0.868057251
2017-03-10 22:09:00,66.94170339315792,68.14102554333337,83.67948659333337,108.66367465555554,10.089506361111113,0.0,83.16615337722223,-0.8584124247222221
2017-03-10 22:10:00,66.94575139000001,68.14574834000001,83.72064851368422,108.63029761052633,10.099780685263157,0.0,83.1627687136842,-0.8497828433157893
2017-03-10 22:11:00,66.946155167,68.14615211700001,83.81153869599999,108.74999884000002,10.089583492,0.0,83.171297072,4.175345611550001
2017-03-10 22:12:00,66.9581230988889,68.15812004888892,83.88461684999999,108.73360145555554,10.085648377777778,0.0,83.16936831944446,-0.8680572509999999
2017-03-10 22:13:00,66.98218857526317,68.18218552526315,83.91903043789473,108.6988316631579,10.067251657894735,0.0,83.17190591736842,9.749632985947368
2017-03-10 22:14:00,67.00647896263156,68.20647591263157,83.95951602105264,108.55491476842106,10.057748843684212,0.0,83.16733751631578,-0.868057251
2017-03-10 22:15:00,67.01154060299999,68.211537553,84.04230728200001,108.46788138500001,10.073264218000002,0.0,83.16406326149999,-0.868057251
2017-03-10 22:16:00,67.03076934999999,68.2307663,84.1174075494737,108.81076290526318,10.040935665473686,0.0,83.17190631947369,-0.868057251
2017-03-10 22:17:00,67.08340373631577,68.28340068631577,84.16599193368424,109.00265019999999,10.06505875842105,0.0,83.1703824468421,-0.868057251
2017-03-10 22:18:00,67.11174252157893,68.31173947157895,84.22266990526315,108.8107629,10.036549719473683,0.0,83.16429178210525,9.749632985947363
2017-03-10 22:19:00,67.16324996888888,68.36324691888888,84.27350192888889,108.50935661666666,10.072916877777779,0.0,83.17097557777777,4.735723707388889
2017-03-10 22:20:00,67.23725047631577,68.43724742631578,84.34008066315789,108.84731293157895,10.054093661999998,0.0,83.16733751684211,9.74963298594737
2017-03-10 22:21:00,67.35465963000001,68.55465658000001,84.38056504315789,108.94782498947367,10.05226617,0.0,83.17190672210526,-0.868057251
2017-03-10 22:22:00,67.41134121105263,68.61133816105264,84.4331986273684,108.93183457894736,10.067617114210526,0.0,83.17343019210529,4.440787867473688
2017-03-10 22:23:00,67.46397078473686,68.66396773473687,84.47368501263156,109.03463062631579,10.067617266315787,0.0,83.17190672210526,-0.8589200471578946
